melodieid,count,place
4873,4,Alkmaar
5921,4,Alkmaar
3694,4,Alkmaar
3696,4,Alkmaar
7445,4,Alkmaar
776,4,Alkmaar
2798,3,Alkmaar
126,3,Alkmaar
7266,3,Alkmaar
4459,3,Alkmaar
7039,3,Alkmaar
9389,3,Alkmaar
7176,3,Alkmaar
3202,3,Alkmaar
2895,3,Alkmaar
7051,3,Alkmaar
2699,3,Alkmaar
11292,3,Alkmaar
7415,3,Alkmaar
527,3,Alkmaar
7413,3,Alkmaar
1182,3,Alkmaar
341,3,Alkmaar
3677,3,Alkmaar
3592,2,Alkmaar
7243,2,Alkmaar
7317,2,Alkmaar
7939,2,Alkmaar
4981,2,Alkmaar
8638,2,Alkmaar
9001,2,Alkmaar
7189,2,Alkmaar
698,2,Alkmaar
7210,2,Alkmaar
7195,2,Alkmaar
7228,2,Alkmaar
8388,2,Alkmaar
5047,2,Alkmaar
7182,2,Alkmaar
5428,2,Alkmaar
8302,2,Alkmaar
4918,2,Alkmaar
4222,2,Alkmaar
9415,2,Alkmaar
1131,2,Alkmaar
2716,2,Alkmaar
2614,2,Alkmaar
8513,2,Alkmaar
3603,2,Alkmaar
1876,2,Alkmaar
1151,2,Alkmaar
7165,2,Alkmaar
64,2,Alkmaar
665,2,Alkmaar
6957,2,Alkmaar
9240,2,Alkmaar
546,2,Alkmaar
7326,2,Alkmaar
5816,2,Alkmaar
7395,2,Alkmaar
4031,2,Alkmaar
3281,2,Alkmaar
93,2,Alkmaar
3329,2,Alkmaar
3305,2,Alkmaar
3963,2,Alkmaar
7294,2,Alkmaar
9582,2,Alkmaar
9064,2,Alkmaar
8068,2,Alkmaar
4979,2,Alkmaar
8844,2,Alkmaar
2668,2,Alkmaar
9256,2,Alkmaar
9352,2,Alkmaar
7169,2,Alkmaar
7197,2,Alkmaar
7288,2,Alkmaar
7215,2,Alkmaar
6300,2,Alkmaar
2818,2,Alkmaar
1856,2,Alkmaar
7161,2,Alkmaar
2454,2,Alkmaar
4196,2,Alkmaar
7187,2,Alkmaar
3042,2,Alkmaar
7238,2,Alkmaar
4266,2,Alkmaar
2457,2,Alkmaar
8121,2,Alkmaar
5823,2,Alkmaar
127,2,Alkmaar
3682,2,Alkmaar
8606,2,Alkmaar
2048,2,Alkmaar
315,2,Alkmaar
7225,2,Alkmaar
325,2,Alkmaar
9086,2,Alkmaar
9497,2,Alkmaar
5385,2,Alkmaar
7804,2,Alkmaar
2473,1,Alkmaar
5808,1,Alkmaar
4667,1,Alkmaar
4815,1,Alkmaar
7754,1,Alkmaar
6887,1,Alkmaar
3502,1,Alkmaar
2479,1,Alkmaar
480,1,Alkmaar
4895,1,Alkmaar
2441,1,Alkmaar
6485,1,Alkmaar
4871,1,Alkmaar
12174,1,Alkmaar
6051,1,Alkmaar
7932,1,Alkmaar
56,1,Alkmaar
3979,1,Alkmaar
1438,1,Alkmaar
7185,1,Alkmaar
12794,1,Alkmaar
6775,1,Alkmaar
2929,1,Alkmaar
7071,1,Alkmaar
2119,1,Alkmaar
7358,1,Alkmaar
7432,1,Alkmaar
7367,1,Alkmaar
5976,1,Alkmaar
6699,1,Alkmaar
6488,1,Alkmaar
6740,1,Alkmaar
9249,1,Alkmaar
7213,1,Alkmaar
4969,1,Alkmaar
2481,1,Alkmaar
1283,1,Alkmaar
8745,1,Alkmaar
928,1,Alkmaar
7158,1,Alkmaar
9618,1,Alkmaar
5273,1,Alkmaar
1316,1,Alkmaar
7820,1,Alkmaar
7942,149,Amsterdam
7977,144,Amsterdam
6451,130,Amsterdam
5112,118,Amsterdam
2663,118,Amsterdam
3654,117,Amsterdam
8003,95,Amsterdam
1131,87,Amsterdam
5335,87,Amsterdam
2815,85,Amsterdam
6619,83,Amsterdam
7355,80,Amsterdam
3952,78,Amsterdam
6124,77,Amsterdam
9353,77,Amsterdam
527,74,Amsterdam
3456,74,Amsterdam
7803,73,Amsterdam
6515,71,Amsterdam
4002,70,Amsterdam
7051,67,Amsterdam
9363,66,Amsterdam
7932,65,Amsterdam
7208,64,Amsterdam
7299,63,Amsterdam
2715,61,Amsterdam
6068,61,Amsterdam
1856,61,Amsterdam
2048,60,Amsterdam
1182,60,Amsterdam
2434,59,Amsterdam
4871,56,Amsterdam
7417,55,Amsterdam
8349,55,Amsterdam
9616,53,Amsterdam
928,52,Amsterdam
8058,52,Amsterdam
7393,51,Amsterdam
487,51,Amsterdam
64,51,Amsterdam
9618,50,Amsterdam
773,50,Amsterdam
7147,50,Amsterdam
7721,50,Amsterdam
819,49,Amsterdam
7866,48,Amsterdam
6968,48,Amsterdam
8277,48,Amsterdam
7071,48,Amsterdam
7388,47,Amsterdam
1374,47,Amsterdam
698,47,Amsterdam
8757,46,Amsterdam
7206,45,Amsterdam
7173,45,Amsterdam
4505,44,Amsterdam
4229,43,Amsterdam
7941,41,Amsterdam
6300,40,Amsterdam
4873,40,Amsterdam
7195,39,Amsterdam
906,39,Amsterdam
9073,39,Amsterdam
9389,39,Amsterdam
2499,38,Amsterdam
126,38,Amsterdam
3810,38,Amsterdam
4149,37,Amsterdam
4116,37,Amsterdam
3603,37,Amsterdam
2716,37,Amsterdam
127,37,Amsterdam
7169,37,Amsterdam
7176,37,Amsterdam
7648,36,Amsterdam
3072,36,Amsterdam
713,36,Amsterdam
4969,35,Amsterdam
6740,35,Amsterdam
7339,35,Amsterdam
828,34,Amsterdam
529,34,Amsterdam
4041,34,Amsterdam
7317,32,Amsterdam
1178,32,Amsterdam
4031,31,Amsterdam
4726,31,Amsterdam
4918,31,Amsterdam
2668,31,Amsterdam
6944,31,Amsterdam
7255,30,Amsterdam
7804,29,Amsterdam
2441,29,Amsterdam
714,29,Amsterdam
1382,29,Amsterdam
7158,29,Amsterdam
6957,29,Amsterdam
3043,29,Amsterdam
2706,29,Amsterdam
7238,29,Amsterdam
5656,28,Amsterdam
1876,28,Amsterdam
1020,28,Amsterdam
2248,28,Amsterdam
7362,28,Amsterdam
359,28,Amsterdam
3652,28,Amsterdam
7266,28,Amsterdam
3240,28,Amsterdam
2798,28,Amsterdam
7934,27,Amsterdam
7228,27,Amsterdam
4955,27,Amsterdam
8363,27,Amsterdam
4459,27,Amsterdam
7225,27,Amsterdam
1316,27,Amsterdam
7413,26,Amsterdam
7167,26,Amsterdam
7247,26,Amsterdam
5855,25,Amsterdam
2486,25,Amsterdam
7221,25,Amsterdam
7424,25,Amsterdam
9006,25,Amsterdam
11292,25,Amsterdam
6549,25,Amsterdam
4754,25,Amsterdam
776,25,Amsterdam
5385,24,Amsterdam
2278,24,Amsterdam
8770,24,Amsterdam
7268,24,Amsterdam
7314,24,Amsterdam
5273,24,Amsterdam
7257,23,Amsterdam
9406,23,Amsterdam
7312,23,Amsterdam
341,23,Amsterdam
4240,23,Amsterdam
4397,23,Amsterdam
6983,23,Amsterdam
6945,22,Amsterdam
6982,22,Amsterdam
8844,22,Amsterdam
1242,22,Amsterdam
1438,22,Amsterdam
7193,21,Amsterdam
2983,21,Amsterdam
4922,21,Amsterdam
3305,21,Amsterdam
6699,21,Amsterdam
445,21,Amsterdam
13558,21,Amsterdam
1363,20,Amsterdam
458,20,Amsterdam
7217,20,Amsterdam
1946,20,Amsterdam
8068,20,Amsterdam
4979,20,Amsterdam
4958,20,Amsterdam
2697,20,Amsterdam
7432,20,Amsterdam
9280,19,Amsterdam
3016,19,Amsterdam
1379,19,Amsterdam
6936,19,Amsterdam
4908,19,Amsterdam
7415,19,Amsterdam
8256,19,Amsterdam
282,19,Amsterdam
1151,19,Amsterdam
7294,19,Amsterdam
8745,18,Amsterdam
926,18,Amsterdam
7900,18,Amsterdam
7182,18,Amsterdam
2431,18,Amsterdam
4921,18,Amsterdam
4019,18,Amsterdam
4853,18,Amsterdam
484,18,Amsterdam
495,18,Amsterdam
7925,18,Amsterdam
9086,18,Amsterdam
5336,18,Amsterdam
12661,17,Amsterdam
7288,17,Amsterdam
7223,17,Amsterdam
9177,17,Amsterdam
8665,17,Amsterdam
7787,17,Amsterdam
5995,17,Amsterdam
9206,17,Amsterdam
4835,17,Amsterdam
9315,17,Amsterdam
5781,17,Amsterdam
4760,17,Amsterdam
8243,16,Amsterdam
3963,16,Amsterdam
4981,16,Amsterdam
7939,16,Amsterdam
2064,16,Amsterdam
7163,16,Amsterdam
6604,16,Amsterdam
2576,16,Amsterdam
2849,16,Amsterdam
9515,16,Amsterdam
6107,16,Amsterdam
7160,16,Amsterdam
2260,16,Amsterdam
7161,15,Amsterdam
3694,15,Amsterdam
4215,15,Amsterdam
4196,15,Amsterdam
4128,15,Amsterdam
836,15,Amsterdam
9163,15,Amsterdam
9066,15,Amsterdam
4592,15,Amsterdam
1444,15,Amsterdam
7230,15,Amsterdam
4939,15,Amsterdam
4061,15,Amsterdam
2040,15,Amsterdam
7367,15,Amsterdam
5114,14,Amsterdam
6606,14,Amsterdam
707,14,Amsterdam
9064,14,Amsterdam
8252,14,Amsterdam
5084,14,Amsterdam
7390,14,Amsterdam
7286,14,Amsterdam
8186,14,Amsterdam
4640,14,Amsterdam
4138,14,Amsterdam
1338,14,Amsterdam
4911,14,Amsterdam
7375,14,Amsterdam
7350,14,Amsterdam
5241,14,Amsterdam
387,14,Amsterdam
4057,13,Amsterdam
5100,13,Amsterdam
1037,13,Amsterdam
8638,13,Amsterdam
3540,13,Amsterdam
5055,13,Amsterdam
5083,13,Amsterdam
4319,13,Amsterdam
8997,13,Amsterdam
9617,13,Amsterdam
7191,13,Amsterdam
7336,13,Amsterdam
2,13,Amsterdam
6851,13,Amsterdam
7558,13,Amsterdam
6374,13,Amsterdam
12614,13,Amsterdam
2479,13,Amsterdam
394,13,Amsterdam
1916,13,Amsterdam
3352,13,Amsterdam
2642,13,Amsterdam
3024,13,Amsterdam
7280,13,Amsterdam
56,13,Amsterdam
7187,13,Amsterdam
5284,13,Amsterdam
5069,12,Amsterdam
7343,12,Amsterdam
5455,12,Amsterdam
7232,12,Amsterdam
7381,12,Amsterdam
7445,12,Amsterdam
5282,12,Amsterdam
6543,12,Amsterdam
4852,12,Amsterdam
7185,12,Amsterdam
5038,12,Amsterdam
7171,12,Amsterdam
9240,12,Amsterdam
7422,12,Amsterdam
7326,12,Amsterdam
7364,12,Amsterdam
2781,12,Amsterdam
7319,12,Amsterdam
5079,12,Amsterdam
9137,12,Amsterdam
4088,12,Amsterdam
3842,12,Amsterdam
7215,12,Amsterdam
4968,11,Amsterdam
7449,11,Amsterdam
7284,11,Amsterdam
2895,11,Amsterdam
3979,11,Amsterdam
4167,11,Amsterdam
752,11,Amsterdam
7369,11,Amsterdam
8092,11,Amsterdam
4796,11,Amsterdam
9490,11,Amsterdam
2514,11,Amsterdam
7189,11,Amsterdam
10623,11,Amsterdam
980,11,Amsterdam
7243,11,Amsterdam
5593,11,Amsterdam
6639,11,Amsterdam
24,11,Amsterdam
7358,11,Amsterdam
5313,11,Amsterdam
147,11,Amsterdam
444,10,Amsterdam
4886,10,Amsterdam
9352,10,Amsterdam
8402,10,Amsterdam
7341,10,Amsterdam
7333,10,Amsterdam
3706,10,Amsterdam
1358,10,Amsterdam
7963,10,Amsterdam
7236,10,Amsterdam
12265,10,Amsterdam
4617,10,Amsterdam
7210,10,Amsterdam
8161,10,Amsterdam
5017,10,Amsterdam
7395,10,Amsterdam
3126,10,Amsterdam
7197,10,Amsterdam
3493,10,Amsterdam
864,10,Amsterdam
5173,10,Amsterdam
5005,10,Amsterdam
1287,9,Amsterdam
4028,9,Amsterdam
6257,9,Amsterdam
3693,9,Amsterdam
7250,9,Amsterdam
7321,9,Amsterdam
692,9,Amsterdam
7204,9,Amsterdam
4704,9,Amsterdam
8607,9,Amsterdam
2148,9,Amsterdam
5212,9,Amsterdam
2083,9,Amsterdam
6339,9,Amsterdam
4184,9,Amsterdam
6269,9,Amsterdam
6797,9,Amsterdam
5063,9,Amsterdam
3418,9,Amsterdam
7851,9,Amsterdam
3123,9,Amsterdam
5071,9,Amsterdam
7943,9,Amsterdam
2530,9,Amsterdam
6904,9,Amsterdam
8513,9,Amsterdam
3628,9,Amsterdam
4895,9,Amsterdam
6631,9,Amsterdam
1359,8,Amsterdam
7430,8,Amsterdam
6547,8,Amsterdam
7259,8,Amsterdam
7730,8,Amsterdam
4291,8,Amsterdam
7408,8,Amsterdam
5410,8,Amsterdam
7921,8,Amsterdam
5068,8,Amsterdam
57,8,Amsterdam
7274,8,Amsterdam
5064,8,Amsterdam
3155,8,Amsterdam
8417,8,Amsterdam
6635,8,Amsterdam
3029,8,Amsterdam
7456,8,Amsterdam
3937,8,Amsterdam
3329,8,Amsterdam
7353,8,Amsterdam
8150,8,Amsterdam
3247,8,Amsterdam
6245,8,Amsterdam
441,8,Amsterdam
2438,8,Amsterdam
1317,8,Amsterdam
4188,8,Amsterdam
7328,8,Amsterdam
3814,8,Amsterdam
450,8,Amsterdam
7345,8,Amsterdam
8586,8,Amsterdam
12210,8,Amsterdam
11203,8,Amsterdam
8212,8,Amsterdam
5226,8,Amsterdam
4936,8,Amsterdam
9795,8,Amsterdam
4630,8,Amsterdam
524,8,Amsterdam
7406,8,Amsterdam
3696,8,Amsterdam
2501,8,Amsterdam
7428,8,Amsterdam
8859,8,Amsterdam
7282,8,Amsterdam
3677,8,Amsterdam
3806,8,Amsterdam
2130,8,Amsterdam
7213,8,Amsterdam
3685,8,Amsterdam
7219,8,Amsterdam
1014,8,Amsterdam
6368,7,Amsterdam
7308,7,Amsterdam
7384,7,Amsterdam
7451,7,Amsterdam
5848,7,Amsterdam
7447,7,Amsterdam
4850,7,Amsterdam
4353,7,Amsterdam
2285,7,Amsterdam
3492,7,Amsterdam
865,7,Amsterdam
9318,7,Amsterdam
7436,7,Amsterdam
6607,7,Amsterdam
8121,7,Amsterdam
2566,7,Amsterdam
2661,7,Amsterdam
302,7,Amsterdam
4902,7,Amsterdam
3125,7,Amsterdam
1989,7,Amsterdam
7360,7,Amsterdam
6275,7,Amsterdam
7763,7,Amsterdam
121,7,Amsterdam
7069,7,Amsterdam
2415,7,Amsterdam
9014,7,Amsterdam
7755,7,Amsterdam
7245,7,Amsterdam
2426,7,Amsterdam
7454,7,Amsterdam
7165,7,Amsterdam
2933,7,Amsterdam
7180,7,Amsterdam
2457,7,Amsterdam
633,7,Amsterdam
7809,7,Amsterdam
5976,7,Amsterdam
4985,7,Amsterdam
7348,7,Amsterdam
5409,7,Amsterdam
1231,7,Amsterdam
2516,7,Amsterdam
4934,7,Amsterdam
4812,7,Amsterdam
5888,7,Amsterdam
12794,7,Amsterdam
806,7,Amsterdam
4049,7,Amsterdam
5808,7,Amsterdam
4228,7,Amsterdam
4709,7,Amsterdam
6537,7,Amsterdam
7463,7,Amsterdam
168,7,Amsterdam
7276,7,Amsterdam
2841,7,Amsterdam
28,7,Amsterdam
9407,7,Amsterdam
3261,7,Amsterdam
7401,7,Amsterdam
3009,7,Amsterdam
6056,7,Amsterdam
5919,7,Amsterdam
2517,7,Amsterdam
4590,7,Amsterdam
6488,7,Amsterdam
8867,6,Amsterdam
5437,6,Amsterdam
91,6,Amsterdam
546,6,Amsterdam
9291,6,Amsterdam
834,6,Amsterdam
2565,6,Amsterdam
2246,6,Amsterdam
3934,6,Amsterdam
4118,6,Amsterdam
4641,6,Amsterdam
1222,6,Amsterdam
8893,6,Amsterdam
1701,6,Amsterdam
3313,6,Amsterdam
3998,6,Amsterdam
2338,6,Amsterdam
4276,6,Amsterdam
7669,6,Amsterdam
7371,6,Amsterdam
3377,6,Amsterdam
13298,6,Amsterdam
6722,6,Amsterdam
579,6,Amsterdam
3762,6,Amsterdam
3118,6,Amsterdam
6328,6,Amsterdam
3059,6,Amsterdam
349,6,Amsterdam
3921,6,Amsterdam
2180,6,Amsterdam
9493,6,Amsterdam
4966,6,Amsterdam
8023,6,Amsterdam
7200,6,Amsterdam
5823,6,Amsterdam
7324,6,Amsterdam
5396,6,Amsterdam
7420,6,Amsterdam
7426,6,Amsterdam
8120,6,Amsterdam
5288,6,Amsterdam
6270,6,Amsterdam
53,6,Amsterdam
7938,6,Amsterdam
1848,6,Amsterdam
5945,6,Amsterdam
7379,6,Amsterdam
7443,6,Amsterdam
6398,6,Amsterdam
7440,6,Amsterdam
1240,6,Amsterdam
8736,6,Amsterdam
7802,6,Amsterdam
7386,6,Amsterdam
5453,6,Amsterdam
2224,6,Amsterdam
3664,6,Amsterdam
7331,6,Amsterdam
8420,6,Amsterdam
7399,6,Amsterdam
7261,6,Amsterdam
6411,6,Amsterdam
5880,6,Amsterdam
9270,6,Amsterdam
9075,6,Amsterdam
6391,6,Amsterdam
7305,6,Amsterdam
7178,6,Amsterdam
7241,6,Amsterdam
7410,6,Amsterdam
7253,6,Amsterdam
7397,6,Amsterdam
7202,6,Amsterdam
7403,6,Amsterdam
7001,6,Amsterdam
7263,6,Amsterdam
7270,6,Amsterdam
7278,6,Amsterdam
8763,6,Amsterdam
8993,6,Amsterdam
8007,5,Amsterdam
6425,5,Amsterdam
9037,5,Amsterdam
4357,5,Amsterdam
4896,5,Amsterdam
5777,5,Amsterdam
6762,5,Amsterdam
3957,5,Amsterdam
7915,5,Amsterdam
3502,5,Amsterdam
3071,5,Amsterdam
730,5,Amsterdam
2940,5,Amsterdam
6348,5,Amsterdam
3682,5,Amsterdam
7666,5,Amsterdam
4017,5,Amsterdam
3169,5,Amsterdam
563,5,Amsterdam
8672,5,Amsterdam
8751,5,Amsterdam
2450,5,Amsterdam
6014,5,Amsterdam
1731,5,Amsterdam
7928,5,Amsterdam
3920,5,Amsterdam
2863,5,Amsterdam
3622,5,Amsterdam
1587,5,Amsterdam
195,5,Amsterdam
12255,5,Amsterdam
8306,5,Amsterdam
9048,5,Amsterdam
3681,5,Amsterdam
2214,5,Amsterdam
93,5,Amsterdam
3981,5,Amsterdam
9726,5,Amsterdam
7754,5,Amsterdam
792,5,Amsterdam
2654,5,Amsterdam
2997,5,Amsterdam
4192,5,Amsterdam
4053,5,Amsterdam
13818,5,Amsterdam
2095,5,Amsterdam
6318,5,Amsterdam
179,5,Amsterdam
6195,5,Amsterdam
5300,5,Amsterdam
6593,5,Amsterdam
6795,5,Amsterdam
6334,5,Amsterdam
678,5,Amsterdam
3663,5,Amsterdam
3955,5,Amsterdam
671,5,Amsterdam
5498,5,Amsterdam
2277,5,Amsterdam
7040,5,Amsterdam
8848,5,Amsterdam
2498,4,Amsterdam
5924,4,Amsterdam
8318,4,Amsterdam
4650,4,Amsterdam
4304,4,Amsterdam
771,4,Amsterdam
9116,4,Amsterdam
3256,4,Amsterdam
298,4,Amsterdam
6394,4,Amsterdam
8877,4,Amsterdam
78,4,Amsterdam
357,4,Amsterdam
6822,4,Amsterdam
11331,4,Amsterdam
4642,4,Amsterdam
6542,4,Amsterdam
4942,4,Amsterdam
1904,4,Amsterdam
6440,4,Amsterdam
3042,4,Amsterdam
5060,4,Amsterdam
3065,4,Amsterdam
7987,4,Amsterdam
7820,4,Amsterdam
983,4,Amsterdam
5428,4,Amsterdam
3922,4,Amsterdam
3536,4,Amsterdam
1945,4,Amsterdam
6287,4,Amsterdam
12801,4,Amsterdam
4830,4,Amsterdam
9340,4,Amsterdam
808,4,Amsterdam
13524,4,Amsterdam
7494,4,Amsterdam
2487,4,Amsterdam
9620,4,Amsterdam
1454,4,Amsterdam
1757,4,Amsterdam
7500,4,Amsterdam
9141,4,Amsterdam
4727,4,Amsterdam
3017,4,Amsterdam
4377,4,Amsterdam
6424,4,Amsterdam
3182,4,Amsterdam
9429,4,Amsterdam
2146,4,Amsterdam
4011,4,Amsterdam
6524,4,Amsterdam
763,4,Amsterdam
5965,4,Amsterdam
1079,4,Amsterdam
4923,4,Amsterdam
8841,4,Amsterdam
7772,4,Amsterdam
2437,4,Amsterdam
8196,4,Amsterdam
5432,4,Amsterdam
1224,4,Amsterdam
499,4,Amsterdam
6887,4,Amsterdam
9058,4,Amsterdam
1280,4,Amsterdam
5351,4,Amsterdam
2614,4,Amsterdam
3440,4,Amsterdam
9426,4,Amsterdam
9333,4,Amsterdam
4050,4,Amsterdam
6967,4,Amsterdam
7000,4,Amsterdam
6467,4,Amsterdam
9034,4,Amsterdam
5366,4,Amsterdam
8796,4,Amsterdam
9861,4,Amsterdam
9189,4,Amsterdam
3034,4,Amsterdam
851,4,Amsterdam
2481,4,Amsterdam
12198,4,Amsterdam
6468,4,Amsterdam
9494,4,Amsterdam
9491,4,Amsterdam
9545,4,Amsterdam
1283,4,Amsterdam
1827,4,Amsterdam
12814,3,Amsterdam
3250,3,Amsterdam
6045,3,Amsterdam
4615,3,Amsterdam
374,3,Amsterdam
8937,3,Amsterdam
5099,3,Amsterdam
3924,3,Amsterdam
9082,3,Amsterdam
4671,3,Amsterdam
3325,3,Amsterdam
67,3,Amsterdam
1352,3,Amsterdam
13294,3,Amsterdam
13304,3,Amsterdam
12862,3,Amsterdam
13290,3,Amsterdam
6990,3,Amsterdam
3667,3,Amsterdam
888,3,Amsterdam
129,3,Amsterdam
3444,3,Amsterdam
2805,3,Amsterdam
6978,3,Amsterdam
9348,3,Amsterdam
4729,3,Amsterdam
12289,3,Amsterdam
1833,3,Amsterdam
7109,3,Amsterdam
3271,3,Amsterdam
6951,3,Amsterdam
4015,3,Amsterdam
1257,3,Amsterdam
6675,3,Amsterdam
2435,3,Amsterdam
136,3,Amsterdam
8771,3,Amsterdam
7708,3,Amsterdam
13293,3,Amsterdam
9976,3,Amsterdam
6051,3,Amsterdam
12810,3,Amsterdam
3929,3,Amsterdam
8240,3,Amsterdam
557,3,Amsterdam
4457,3,Amsterdam
1189,3,Amsterdam
426,3,Amsterdam
7823,3,Amsterdam
5168,3,Amsterdam
6556,3,Amsterdam
3395,3,Amsterdam
1882,3,Amsterdam
8748,3,Amsterdam
6613,3,Amsterdam
5248,3,Amsterdam
13396,3,Amsterdam
6793,3,Amsterdam
826,3,Amsterdam
12238,3,Amsterdam
6581,3,Amsterdam
5774,3,Amsterdam
3198,3,Amsterdam
1056,3,Amsterdam
600,3,Amsterdam
6964,3,Amsterdam
6373,3,Amsterdam
1050,3,Amsterdam
3141,3,Amsterdam
3508,3,Amsterdam
12194,3,Amsterdam
6197,3,Amsterdam
5906,3,Amsterdam
1781,3,Amsterdam
5072,3,Amsterdam
8456,3,Amsterdam
12886,3,Amsterdam
7743,3,Amsterdam
4169,3,Amsterdam
9394,3,Amsterdam
12815,3,Amsterdam
10282,3,Amsterdam
8606,3,Amsterdam
13292,3,Amsterdam
5569,3,Amsterdam
3505,3,Amsterdam
1047,3,Amsterdam
3899,3,Amsterdam
13296,3,Amsterdam
9158,3,Amsterdam
12711,3,Amsterdam
13303,3,Amsterdam
13295,3,Amsterdam
3662,3,Amsterdam
13289,3,Amsterdam
1133,3,Amsterdam
11265,3,Amsterdam
7825,3,Amsterdam
2417,3,Amsterdam
5244,3,Amsterdam
5414,3,Amsterdam
4313,3,Amsterdam
846,3,Amsterdam
12807,3,Amsterdam
13301,3,Amsterdam
4340,3,Amsterdam
13297,3,Amsterdam
13302,3,Amsterdam
8258,3,Amsterdam
13300,3,Amsterdam
13291,3,Amsterdam
4800,3,Amsterdam
13682,3,Amsterdam
13305,3,Amsterdam
9099,3,Amsterdam
4070,3,Amsterdam
750,3,Amsterdam
931,3,Amsterdam
3215,3,Amsterdam
3620,3,Amsterdam
3847,3,Amsterdam
8689,3,Amsterdam
13193,3,Amsterdam
8496,3,Amsterdam
7698,3,Amsterdam
8920,3,Amsterdam
951,3,Amsterdam
1455,3,Amsterdam
1559,3,Amsterdam
8366,3,Amsterdam
3404,3,Amsterdam
88,3,Amsterdam
9143,3,Amsterdam
854,3,Amsterdam
2198,3,Amsterdam
8485,3,Amsterdam
1230,3,Amsterdam
5785,3,Amsterdam
1935,3,Amsterdam
6732,3,Amsterdam
2209,3,Amsterdam
285,3,Amsterdam
1511,3,Amsterdam
665,3,Amsterdam
8122,3,Amsterdam
9035,3,Amsterdam
7457,3,Amsterdam
8834,3,Amsterdam
3322,3,Amsterdam
4772,3,Amsterdam
7535,3,Amsterdam
3526,3,Amsterdam
6180,3,Amsterdam
950,3,Amsterdam
4109,3,Amsterdam
191,3,Amsterdam
2635,3,Amsterdam
9020,3,Amsterdam
3259,3,Amsterdam
9217,3,Amsterdam
2696,3,Amsterdam
3728,3,Amsterdam
2206,3,Amsterdam
6709,3,Amsterdam
463,3,Amsterdam
7888,3,Amsterdam
2899,3,Amsterdam
1166,3,Amsterdam
2529,3,Amsterdam
3147,3,Amsterdam
9256,3,Amsterdam
8330,3,Amsterdam
4087,3,Amsterdam
3690,3,Amsterdam
457,3,Amsterdam
8198,3,Amsterdam
8691,3,Amsterdam
7537,3,Amsterdam
8765,3,Amsterdam
9168,3,Amsterdam
4332,3,Amsterdam
4129,3,Amsterdam
1269,3,Amsterdam
8633,3,Amsterdam
3651,2,Amsterdam
3683,2,Amsterdam
6010,2,Amsterdam
8492,2,Amsterdam
2473,2,Amsterdam
12765,2,Amsterdam
9098,2,Amsterdam
12792,2,Amsterdam
9200,2,Amsterdam
5921,2,Amsterdam
504,2,Amsterdam
12774,2,Amsterdam
6399,2,Amsterdam
7544,2,Amsterdam
12205,2,Amsterdam
6701,2,Amsterdam
7011,2,Amsterdam
1368,2,Amsterdam
6552,2,Amsterdam
12213,2,Amsterdam
6392,2,Amsterdam
8231,2,Amsterdam
4039,2,Amsterdam
2878,2,Amsterdam
6708,2,Amsterdam
3159,2,Amsterdam
4147,2,Amsterdam
2813,2,Amsterdam
720,2,Amsterdam
5192,2,Amsterdam
12835,2,Amsterdam
12858,2,Amsterdam
6643,2,Amsterdam
